"Identyfikator Produktu Leczniczego";"Nazwa Produktu Leczniczego";"Nazwa powszechnie stosowana";"Rodzaj preparatu";"Zakaz stosowania u zwierząt";"Nazwa poprzednia produktu";"Droga podania - Gatunek - Tkanka - Okres karencji";"Moc";"Postać farmaceutyczna";"Typ procedury";"Numer pozwolenia";"Ważność pozwolenia";"Kod ATC";"Podmiot odpowiedzialny";"Opakowanie";"Substancja czynna";"Nazwa wytwórcy";"Kraj wytwórcy";"Nazwa importera";"Kraj importera";"Nazwa wytwórcy/importera";"Kraj wytwórcy/importera";"Podmiot odpowiedzialny w kraju eksportu";"Kraj eksportu";"Podstawa prawna wniosku";"Ulotka";"Charakterystyka";"Etykieto-ulotka";"Ulotka importu równoległego";"Etykieto-ulotka importu równoległego";"Oznakowanie opakowań importu równoległego";"Narzędzia edukacyjne dla osoby wykonującej zawód medyczny";"Narzędzia edukacyjne dla pacjenta"
"100081662";"Triquilar";"Ethinylestradiolum + Levonorgestrelum";"Ludzki";"";"";"doustna";"30 mcg + 50 mcg  (jasnobrązowe); 40 mcg + 75 mcg (białe); 30 mcg + 125 mcg (w kolorze ochry)";"Tabletki powlekane";"IR";"85/08";"2023-11-04";"G03AB03";"Delfarma Sp. z o.o.";"05909990504350 ¦ Rp ¦ 541
21 tabl.
05909990504367 ¦ Rp ¦ 924
63 tabl.";"Ethinylestradiolum tabletka jasnobrązowa: 30 mcg; 
tabletka biała: 40 mcg;
tabletka w kolorze ochry: 30 mcg + Levonorgestrelum tabletka jasnobrązowa: 50 mcg; 
tabletka biała: 75 mcg;
tabletka w kolorze ochry: 125 mcg";"";"";"";"";"";"";"Bayer plc";"Wielka Brytania";"";"";"";"";"";"";"";"";""
"100081700";"Fromilid 250";"Clarithromycinum";"Ludzki";"";"";"doustna";"250 mg";"Tabletki powlekane";"NAR";"07736";"Bezterminowe";"J01FA09";"Krka, d.d., Novo mesto";"05909990773619 ¦ Rp ¦ 12289
10 tabl.
05909990773626 ¦ Rp ¦ 12290
14 tabl.";"Clarithromycinum 250 mg";"Krka, d.d., Novo mesto";"Słowenia";"";"";"Krka, d.d., Novo mesto";"Słowenia";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8170/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8170/characteristic";"";"";"";"";"";""
"100081805";"Clexane";"Enoxaparinum natricum";"Ludzki";"";"";"dożylna 
do linii tętniczej układu dializacyjnego 
podskórna";"6000 j.m. (60 mg)/0,6 ml";"Roztwór do wstrzykiwań";"MRP";"07748";"Bezterminowe";"B01AB05";"Sanofi Winthrop Industrie";"05909990774814 ¦ Rp ¦ 12306
2 amp.-strzyk. 0,6 ml
05909990774821 ¦ Rp ¦ 12307
10 amp.-strzyk. 0,6 ml
05909991375270 ¦ Rp ¦ 128507
5 amp.-strzyk. 
05909991375287 ¦ Rp ¦ 128508
6 amp.-strzyk. 
05909991375294 ¦ Rp ¦ 128509
12 amp.-strzyk. 
05909991375300 ¦ Rp ¦ 128510
20 amp.-strzyk. 
05909991375317 ¦ Rp ¦ 128511
24 amp.-strzyk. 
05909991375324 ¦ Rp ¦ 128512
30 amp.-strzyk. 
05909991375331 ¦ Rp ¦ 128513
30 amp.-strzyk. 
05909991375348 ¦ Rp ¦ 128514
50 amp.-strzyk. 
05909991375355 ¦ Rp ¦ 128515
90 amp.-strzyk. 
05909991375362 ¦ Rp ¦ 128516
100 amp.-strzyk.";"Enoxaparinum natricum 60 mg";"Chinoin Pharmaceutical and Chemical Works Private Co. Ltd. - Csanyikvolgy Site
Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis GmbH
Sanofi-Aventis Private Co. Ltd.";"Węgry
Francja
Francja
Niemcy
Austria
Węgry";"";"";"Chinoin Pharmaceutical and Chemical Works Private Co. Ltd. - Csanyikvolgy Site
Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis GmbH
Sanofi-Aventis Private Co. Ltd.";"Węgry
Francja
Francja
Niemcy
Austria
Węgry";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8180/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8180/characteristic";"";"";"";"";"";""
"100081811";"Clexane";"Enoxaparinum natricum";"Ludzki";"";"";"podskórna 
do linii tętniczej układu dializacyjnego 
dożylna";"10 000 j.m. (100 mg)/ml";"Roztwór do wstrzykiwań";"MRP";"07749";"Bezterminowe";"B01AB05";"Sanofi Winthrop Industrie";"05909990774913 ¦ Rp ¦ 12308
2 amp.-strzyk. 1 ml z igłą
05909990774920 ¦ Rp ¦ 12309
10 amp.-strzyk. 1 ml z igłą
05909991375638 ¦ Rp ¦ 128543
5 amp.-strzyk. 
05909991375645 ¦ Rp ¦ 128544
6 amp.-strzyk. 
05909991375669 ¦ Rp ¦ 128546
12 amp.-strzyk. 
05909991375676 ¦ Rp ¦ 128547
20 amp.-strzyk. 
05909991375683 ¦ Rp ¦ 128548
24 amp.-strzyk. 
05909991375690 ¦ Rp ¦ 128549
30 amp.-strzyk. 
05909991375706 ¦ Rp ¦ 128550
30 amp.-strzyk. 
05909991375713 ¦ Rp ¦ 128551
50 amp.-strzyk. 
05909991375720 ¦ Rp ¦ 128552
90 amp.-strzyk. 
05909991375737 ¦ Rp ¦ 128553
100 amp.-strzyk.";"Enoxaparinum natricum 100 mg/1 ml";"Chinoin Pharmaceutical and Chemical Works Private Co. Ltd. - Csanyikvolgy Site
Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis GmbH
Sanofi-Aventis Private Co. Ltd.";"Węgry
Francja
Francja
Niemcy
Austria
Węgry";"";"";"Chinoin Pharmaceutical and Chemical Works Private Co. Ltd. - Csanyikvolgy Site
Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis GmbH
Sanofi-Aventis Private Co. Ltd.";"Węgry
Francja
Francja
Niemcy
Austria
Węgry";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8181/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8181/characteristic";"";"";"";"";"";""
"100081828";"Clexane";"Enoxaparinum natricum";"Ludzki";"";"";"do linii tętniczej układu dializacyjnego 
podskórna 
dożylna";"8000 j.m. (80 mg)/0,8 ml";"Roztwór do wstrzykiwań";"MRP";"07750";"Bezterminowe";"B01AB05";"Sanofi Winthrop Industrie";"05909990775019 ¦ Rp ¦ 12310
2 amp.-strzyk. 0,8 ml
05909990775026 ¦ Rp ¦ 12312
10 amp.-strzyk. 0,8 ml
05909991375379 ¦ Rp ¦ 128517
5 amp.-strzyk. 
05909991375386 ¦ Rp ¦ 128518
6 amp.-strzyk. 
05909991375393 ¦ Rp ¦ 128519
12 amp.-strzyk. 
05909991375409 ¦ Rp ¦ 128520
20 amp.-strzyk. 
05909991375416 ¦ Rp ¦ 128521
24 amp.-strzyk. 
05909991375423 ¦ Rp ¦ 128522
30 amp.-strzyk. 
05909991375430 ¦ Rp ¦ 128523
30 amp.-strzyk. 
05909991375447 ¦ Rp ¦ 128524
50 amp.-strzyk. 
05909991375454 ¦ Rp ¦ 128525
90 amp.-strzyk. 
05909991375461 ¦ Rp ¦ 128526
100 amp.-strzyk.";"Enoxaparinum natricum 80 mg";"Chinoin Pharmaceutical and Chemical Works Private Co. Ltd. - Csanyikvolgy Site
Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis GmbH
Sanofi-Aventis Private Co. Ltd.";"Węgry
Francja
Francja
Niemcy
Austria
Węgry";"";"";"Chinoin Pharmaceutical and Chemical Works Private Co. Ltd. - Csanyikvolgy Site
Sanofi Winthrop Industrie
Sanofi Winthrop Industrie
Sanofi-Aventis Deutschland GmbH
Sanofi-Aventis GmbH
Sanofi-Aventis Private Co. Ltd.";"Węgry
Francja
Francja
Niemcy
Austria
Węgry";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8182/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8182/characteristic";"";"";"";"";"";""
"100081863";"Ratiograstim";"Filgrastimum";"Ludzki";"";"";"podskórna 
dożylna";"30 mln j.m./0,5 ml";"Roztwór do wstrzykiwań lub infuzji";"CEN";"";"";"L03AA02";"ratiopharm GmbH";"05909990660674 ¦ Rpz ¦ EU/1/08/444/001 ¦ 45405
1 amp.-strzyk. 0,5 ml
05909990660681 ¦ Rpz ¦ EU/1/08/444/002 ¦ 45406
5 amp.-strzyk. 0,5 ml
05909990660698 ¦ Rpz ¦ EU/1/08/444/004 ¦ 45408
10 amp.-strzyk. 0,5 ml
05909990846498 ¦ Rpz ¦ EU/1/08/444/003 ¦ 64595
10 amp.-strzyk. 0,5 ml (2 x 5)
05909990846504 ¦ Rpz ¦ EU/1/08/444/009 ¦ 64608
1 amp.-strzyk. 0,5 ml
05909990846528 ¦ Rpz ¦ EU/1/08/444/010 ¦ 64609
5 amp.-strzyk. 0,5 ml";"Filgrastimum 30 mln j.m./0,5 ml";"Merckle GmbH
Teva Biotech GmbH";"Niemcy
Niemcy";"";"";"Merckle GmbH";"Niemcy";"";"";"";"";"";"";"";"";"";"";""
"100081870";"Tamoxifen-Egis";"Tamoxifenum";"Ludzki";"";"";"doustna";"20 mg";"Tabletki";"NAR";"07753";"Bezterminowe";"L02BA01";"Egis Pharmaceuticals PLC";"05909990775316 ¦ Rp ¦ 12314
30 tabl.";"Tamoxifeni citras 30.4 mg";"Egis Pharmaceuticals PLC";"Węgry";"";"";"Egis Pharmaceuticals PLC";"Węgry";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8187/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8187/characteristic";"";"";"";"";"";""
"100081892";"Aleve";"Naproxenum natricum";"Ludzki";"";"";"doustna";"220 mg";"Tabletki powlekane";"NAR";"07756";"Bezterminowe";"M01AE02";"Bayer Sp. z o.o.";"05909990775613 ¦ OTC ¦ 12317
7 tabl. w blistrze
05909990775620 ¦ OTC ¦ Skasowane ¦ 17474
10 tabl.
05909990775637 ¦ OTC ¦ Skasowane ¦ 17475
20 tabl.
05909990775651 ¦ OTC ¦ 19252
3 tabl.
05909990775644 ¦ OTC ¦ Skasowane ¦ 19253
7 tabl. w butelce
05908229301913 ¦ OTC ¦ 83697
12 tabl.
05908229301920 ¦ OTC ¦ 83698
24 tabl.";"Naproxenum natricum 220 mg";"Bayer Bitterfeld GmbH";"Niemcy";"";"";"Bayer Bitterfeld GmbH";"Niemcy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8189/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8189/characteristic";"";"";"";"";"";""
"100081923";"Ceclor";"Cefaclorum";"Ludzki";"";"";"doustna";"375 mg/5 ml";"Granulat do sporządzania zawiesiny doustnej";"NAR";"07759";"Bezterminowe";"J01DA08";"Teva Pharmaceuticals Polska Sp. z o.o.";"05909990775910 ¦ Rp ¦ 12319
1 butelka 75 ml
05909990775927 ¦ Rp ¦ 12320
1 butelka 100 ml";"Cefaclorum 375 mg";"ACS Dobfar S.p.A
Teva Operations Polska Sp. z o.o.";"Włochy
Polska";"";"";"ACS Dobfar S.p.A
Teva Operations Polska Sp. z o.o.";"Włochy
Polska";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8192/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8192/characteristic";"";"";"";"";"";""
"100081969";"Fragmin";"Dalteparinum natricum";"Ludzki";"";"";"podskórna";"2500 j.m. a.Xa/0,2 ml";"Roztwór do wstrzykiwań";"NAR";"07764";"Bezterminowe";"B01AB04";"Pfizer Europe MA EEIG";"05909990776412 ¦ Rp ¦ 47040
10 amp.-strzyk. 0,2 ml
05909990939527 ¦ Rp ¦ 73002
20 amp.-strzyk. 0,2 ml";"Dalteparinum natricum 2500 IU(anty-faktor Xa)";"";"";"";"";"Catalent France Limoges S.A.S Z.I. Nord
Pfizer Manufacturing Belgium NV";"Francja
Belgia";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8196/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8196/characteristic";"";"";"";"";"";""
"100081975";"Fragmin";"Dalteparinum natricum";"Ludzki";"";"";"podskórna";"5000 j.m. a.Xa/0,2 ml";"Roztwór do wstrzykiwań";"NAR";"07765";"Bezterminowe";"B01AB04";"Pfizer Europe MA EEIG";"05909990776511 ¦ Rp ¦ 46999
10 amp.-strzyk. 0,2 ml
05909990939534 ¦ Rp ¦ 73003
20 amp.-strzyk. 0,2 ml";"Dalteparinum natricum 5000 IU (anty-faktor Xa)";"";"";"";"";"Catalent France Limoges S.A.S Z.I. Nord
Pfizer Manufacturing Belgium NV";"Francja
Belgia";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8197/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8197/characteristic";"";"";"";"";"";""
"100082006";"Talvosilen Forte";"Paracetamolum + Codeini phosphas hemihydricus";"Ludzki";"";"";"doustna";"500 mg + 30 mg";"Kapsułki";"NAR";"07768";"Bezterminowe";"N02AJ06";"bene Arzneimittel GmbH";"05909990776818 ¦ Rp ¦ 12329
10 kaps.
05909990776825 ¦ Rp ¦ 12330
20 kaps.";"Paracetamolum 500 mg + Codeini phosphas 30 mg";"bene Arzneimittel GmbH";"Niemcy";"";"";"bene Arzneimittel GmbH";"Niemcy";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8200/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8200/characteristic";"";"";"";"";"";""
"100082012";"Carzap";"Candesartanum cilexetili";"Ludzki";"";"";"doustna";"8 mg";"Tabletki";"DCP";"19636";"Bezterminowe";"C09CA06";"Zentiva, k.s.";"05909990937004 ¦ Rp ¦ 72715
7 tabl.
05909990937073 ¦ Rp ¦ 72716
14 tabl.
05909990937080 ¦ Rp ¦ 72717
28 tabl.
05909990937097 ¦ Rp ¦ 72718
30 tabl.
05909990937103 ¦ Rp ¦ 72719
56 tabl.
05909990937127 ¦ Rp ¦ 72720
70 tabl.
05909990937134 ¦ Rp ¦ 72721
90 tabl.
05909990937141 ¦ Rp ¦ 72722
98 tabl.";"Candesartanum cilexetili 8 mg";"Zentiva, a.s.
Zentiva, k.s.";"Słowacja
Czechy";"Zentiva, k.s.";"Czechy";"Zentiva, a.s.
Zentiva, k.s.
Zentiva, k.s.";"Słowacja
Czechy
Czechy";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8201/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8201/characteristic";"";"";"";"";"";""
"100082029";"Talvosilen";"Paracetamolum + Codeini phosphas hemihydricus";"Ludzki";"";"";"doustna";"500 mg + 20 mg";"Tabletki";"NAR";"07769";"2023-07-07";"N02AJ06";"bene Arzneimittel GmbH";"05909990776917 ¦ Rp ¦ 12331
20 tabl.";"Paracetamolum 500 mg + Codeini phosphas 20 mg";"bene Arzneimittel GmbH";"Niemcy";"";"";"bene Arzneimittel GmbH";"Niemcy";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8202/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8202/characteristic";"";"";"";"";"";""
"100082087";"Trimesan";"Trimethoprimum";"Ludzki";"";"";"doustna";"100 mg";"Tabletki";"NAR";"07774";"Bezterminowe";"J01EA01";"Sun-Farm Sp. z o.o.";"05909990777426 ¦ Rp ¦ Skasowane ¦ 12344
40 tabl.
05909990777419 ¦ Rp ¦ Skasowane ¦ 47954
20 tabl.
05907464420588 ¦ Rp ¦ 91848
20 tabl.
05907464420595 ¦ Rp ¦ 91849
40 tabl.";"Trimethoprimum 100 mg";"";"";"";"";"mibe GmbH Arzneimittel";"Niemcy";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8208/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8208/characteristic";"";"";"";"";"";""
"100082213";"Daktarin";"Miconazoli nitras";"Ludzki";"";"";"na skórę";"20 mg/g";"Puder leczniczy";"NAR";"07798";"Bezterminowe";"D01AC02";"McNeil Healthcare (Ireland) Limited";"05909990779819 ¦ OTC ¦ 12361
1 op. 20 g";"Miconazoli nitras 20 g";"Lusomedicamenta - Sociedade Tecnica Farmaceutica S.A.";"Portugalia";"";"";"Lusomedicamenta - Sociedade Tecnica Farmaceutica S.A.";"Portugalia";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8221/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8221/characteristic";"";"";"";"";"";""
"100082236";"Campral";"Acamprosatum";"Ludzki";"";"";"doustna";"333 mg";"Tabletki powlekane dojelitowe";"NAR";"07800";"Bezterminowe";"N07BB03";"Merck Sante s.a.s.";"05909990780013 ¦ Rp ¦ 12362
60 tabl.
05909990780020 ¦ Rp ¦ 12363
84 tabl.
05909990780037 ¦ Rp ¦ 12364
180 tabl.
05909990780044 ¦ Rp ¦ 12365
200 tabl.";"Acamprosatum 333 mg";"Merck Santé S.A.S
Merck, SL";"Francja
Hiszpania";"";"";"Merck Santé S.A.S
Merck, SL";"Francja
Hiszpania";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8223/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8223/characteristic";"";"";"";"";"";""
"100082294";"Klacid";"Clarithromycinum";"Ludzki";"";"";"doustna";"250 mg/5 ml";"Granulat do sporządzania zawiesiny doustnej";"NAR";"07806";"Bezterminowe";"J01FA09";"Viatris Healthcare Sp. z o.o.";"05909990780617 ¦ Rp ¦ 12376
1 butelka 50 ml
05909990780624 ¦ Rp ¦ 12377
1 butelka 60 ml
05909990780631 ¦ Rp ¦ 12378
1 butelka 100 ml";"Clarithromycinum 250 mg";"Abbott S.R.L.";"Włochy";"";"";"Abbott S.R.L.";"Włochy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8229/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8229/characteristic";"";"";"";"";"";""
"100082325";"Maalox";"Aluminii hydroxidum + Magnesii hydroxidum";"Ludzki";"";"";"doustna";"400 mg + 400 mg";"Tabletki";"NAR";"02252";"Bezterminowe";"A02AD01";"Opella Healthcare Poland Sp. z o.o.";"05909990225217 ¦ OTC ¦ 12382
20 tabl.
05909990225224 ¦ OTC ¦ 12383
40 tabl.";"Aluminii hydroxidum 400 mg + Magnesii hydricum 400 mg";"Sanofi S.p.A.";"Włochy";"";"";"Sanofi S.p.A.";"Włochy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8232/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8232/characteristic";"";"";"";"";"";""
"100082331";"Maalox";"Aluminii hydroxidum + Magnesii hydroxidum";"Ludzki";"";"";"doustna";"(35 mg + 40 mg)/ml";"Zawiesina doustna";"NAR";"02253";"Bezterminowe";"A02AB01";"Opella Healthcare Poland Sp. z o.o.";"05909990225316 ¦ OTC ¦ 12324
1 butelka 250 ml
05909990225330 ¦ OTC ¦ 12385
30 sasz. 15 ml
05909990225323 ¦ OTC ¦ 14410
30 sasz. 10 ml
05909990225347 ¦ OTC ¦ Skasowane ¦ 14411
1 poj. 10 ml
05909991215729 ¦ OTC ¦ 107669
1 butelka 60 ml
05909991215736 ¦ OTC ¦ 107670
1 butelka 355 ml";"Aluminii hydroxidum 3.5 g/100 ml + Magnesii hydroxidum 4 g/100 ml";"A. Nattermann & Cie.GmbH
Opella Healthcare Italy S.r.l.";"Niemcy
Włochy";"";"";"A. Nattermann & Cie.GmbH
Opella Healthcare Italy S.r.l.";"Niemcy
Włochy";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8233/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8233/characteristic";"";"";"";"";"";""
"100082354";"Hedelix";"Hederae helicis extractum spissum";"Ludzki";"";"";"doustna";"40 mg/5 ml";"Syrop";"NAR";"03676";"Bezterminowe";"R05CA12";"Dr. Theiss Naturwaren GmbH";"05909990367610 ¦ OTC ¦ 12388
1 butelka 100 ml
05909990367627 ¦ OTC ¦ 12389
1 butelka 200 ml";"Hedera helix extractum (2,2-2,9 : 1) 0,8 g";"";"";"";"";"Krewel Meuselbach GmbH";"Niemcy";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8235/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8235/characteristic";"";"";"";"";"";""
"100082437";"Vivacor";"Carvedilolum";"Ludzki";"";"";"doustna";"25 mg";"Tabletki";"NAR";"07900";"Bezterminowe";"C07AG02";"Proterapia Sp. z o.o.";"05909990790012 ¦ Rp ¦ Skasowane ¦ 12403
30 tabl. w blistrach
05909990790029 ¦ Rp ¦ 23684
30 tabl. (1 x 30)
05909990790036 ¦ Rp ¦ 37189
60 tabl. (2 x 30)
05909990687862 ¦ Rp ¦ 48886
30 tabl. (3 x 10)
05909990687879 ¦ Rp ¦ 48999
60 tabl. (6 x 10)";"Carvedilolum 25 mg";"Egis Pharmaceuticals PLC";"Węgry";"";"";"Egis Pharmaceuticals PLC";"Węgry";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8243/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8243/characteristic";"";"";"";"";"";""
"100082450";"Tetana";"Vaccinum tetani adsorbatum Szczepionka przeciw tężcowi, adsorbowana";"Ludzki";"";"";"podskórna";"nie mniej niż 40 j.m. toksoidu tężcowego/0,5 ml; 1 dawka (0,5 ml)";"Zawiesina do wstrzykiwań";"NAR";"07869";"Bezterminowe";"J07AM01";"Instytut Biotechnologii Surowic i Szczepionek BIOMED S.A.";"05909990786916 ¦ Rp ¦ 12404
5 amp. 0,5 ml
05909990786923 ¦ Rp ¦ Skasowane ¦ 12405
1 fiol. 5 ml (10 dawek)
05909990786930 ¦ Rp ¦ 20856
1 amp. 0,5 ml
05905179570581 ¦ Rp ¦ 123240
10 amp. 0,5 ml";"Toksoid tężcowy nie mniej niż 40 j.m.";"Instytut Biotechnologii Surowic i Szczepionek BIOMED S.A.";"Polska";"";"";"Instytut Biotechnologii Surowic i Szczepionek BIOMED S.A.";"Polska";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8245/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8245/characteristic";"";"";"";"";"";""
"100082466";"Davercin";"Erythromycinum";"Ludzki";"";"";"podanie doustne";"150 mg/5 ml";"Granulat do sporządzania zawiesiny doustnej";"NAR";"07923";"Bezterminowe";"J01FA01";"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";"05909990792313 ¦ Rp ¦ 12406
1 fl. 60 ml (30 g granulatu)";"Erythromycini cyclocarbonas 150 mg";"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";"Polska";"";"";"Tarchomińskie Zakłady Farmaceutyczne ""Polfa"" S.A.";"Polska";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8246/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8246/characteristic";"";"";"";"";"";""
"100082495";"Diphergan";"Promethazini hydrochloridum";"Ludzki";"";"Promethazine";"doustna";"5 mg/5 ml";"Syrop";"NAR";"08046";"Bezterminowe";"R06AD02";"Bausch Health Ireland Ltd.";"05909990804610 ¦ Rp ¦ 12412
1 butelka 150 ml";"Promethazini hydrochloridum 5 mg/5 ml";"Aflofarm Farmacja Polska Sp. z o.o.";"Polska";"";"";"Aflofarm Farmacja Polska Sp. z o.o.";"Polska";"";"";"art. 16 ust. 1 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8249/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8249/characteristic";"";"";"";"";"";""
"100082532";"Cezarius";"Levetiracetamum";"Ludzki";"";"";"doustna";"500 mg";"Tabletki powlekane";"DCP";"18977";"Bezterminowe";"N03AX14";"Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.";"05909990928224 ¦ Rp ¦ 66084
50 tabl.";"Levetiracetamum 500 mg";"Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.";"Polska";"";"";"Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.";"Polska";"";"";"art. 15 ust. 1 pkt 2";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8253/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8253/characteristic";"";"";"";"";"";""
"100082561";"Lamitrin S";"Lamotriginum";"Ludzki";"";"";"doustna";"100 mg";"Tabletki do rozgryzania i żucia / do sporządzania zawiesiny";"MRP";"07873";"Bezterminowe";"N03AX09";"GlaxoSmithKline Trading Services Limited";"05909990787319 ¦ Rp ¦ 12420
30 tabl.
05909990787326 ¦ Rp ¦ 12422
56 tabl.
05909990690633 ¦ Rp ¦ 49260
14 tabl.
05909990690640 ¦ Rp ¦ 49261
28 tabl.
05909990690657 ¦ Rp ¦ 49262
42 tabl.
05909990690732 ¦ Rp ¦ 49268
98 tabl.
05909990690749 ¦ Rp ¦ 49269
196 tabl.
05909990690961 ¦ Rp ¦ 49281
10 tabl.
05909990690978 ¦ Rp ¦ 49282
50 tabl.
05909990690985 ¦ Rp ¦ 49283
60 tabl.
05909990690992 ¦ Rp ¦ 49284
90 tabl.
05909990691005 ¦ Rp ¦ 49285
100 tabl.
05909990691036 ¦ Rp ¦ 49286
200 tabl.";"Lamotriginum 100 mg";"";"";"";"";"Delpharm Poznań S.A.";"Polska";"";"";"art. 10 ust. 1 i 2 ";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8256/leaflet";"https://rejestrymedyczne.ezdrowie.gov.pl/api/rpl/medicinal-products/8256/characteristic";"";"";"";"";"";""
